month,AggLiq,LiqInno,LiqTrad
2007-09-01,-0.04698278,-0.03157135,0.03339979
2007-10-01,-0.19141352,-0.04755266,0.05505309
2007-11-01,-0.16848869,-0.02776756,0.02181934
2007-12-01,-0.04286566,0.02710193,0.05028802
2008-01-01,-0.15709411,-0.05938368,-0.12657549
2008-02-01,0.07933861,-0.01833417,0.03009320
2008-03-01,-0.26874675,-0.14964387,0.04105458
2008-04-01,0.06011212,0.10671890,0.10871313
2008-05-01,-0.01916144,0.00134239,0.08058900
2008-06-01,-0.08686875,-0.03551971,0.09451179
2008-07-01,-0.17516923,-0.07201230,-0.13225786
2008-08-01,-0.00480399,0.02324499,0.01819551
2008-09-01,-0.10135142,-0.23786888,-0.13550608
2008-10-01,-0.22932815,-0.04740514,-0.08977999
2008-11-01,0.07299987,0.14296879,-0.05779453
2008-12-01,-0.30815682,-0.19000816,-0.08469479
2009-01-01,-0.04154820,-0.15511781,0.07990491
2009-02-01,-0.03537968,0.03440678,-0.00348468
2009-03-01,-0.09956666,-0.03351641,-0.04477284
2009-04-01,-0.09607376,-0.04240943,-0.04653182
2009-05-01,-0.07201629,0.07210303,0.01953465
2009-06-01,-0.04054450,0.01835335,-0.01328322
2009-07-01,0.07996965,0.04095114,-0.01619019
2009-08-01,-0.01591909,-0.00324712,-0.05453840
2009-09-01,0.01414678,0.06306506,0.06457085
2009-10-01,-0.06074820,-0.05213994,0.07770456
2009-11-01,-0.03522501,-0.01044725,-0.00284503
2009-12-01,0.13697338,-0.00124658,0.02283539
2010-01-01,0.05788525,0.11794349,-0.01105698
2010-02-01,0.01445669,0.03293625,-0.00755895
2010-03-01,0.01741086,0.03196891,-0.06257515
2010-04-01,-0.06437738,-0.05386090,0.01020015
2010-05-01,-0.07894997,-0.01745661,-0.02806075
2010-06-01,-0.05562146,0.01496882,0.00383754
2010-07-01,-0.01822582,-0.00086348,0.02483923
2010-08-01,0.00020335,0.02679847,0.02131701
2010-09-01,-0.03018753,0.08293270,0.03255056
2010-10-01,-0.04019747,-0.05114340,0.02321111
2010-11-01,-0.01660863,-0.00385092,0.02746053
2010-12-01,0.03733859,0.08708576,0.03149786
2011-01-01,-0.03436781,-0.03459147,0.00967912
2011-02-01,-0.01119657,-0.01550884,-0.01051377
2011-03-01,-0.03244630,-0.01526818,0.00236662
2011-04-01,0.00997818,0.02055293,-0.05769035
2011-05-01,0.01770700,0.02238119,-0.02694952
2011-06-01,-0.00861605,0.02687871,-0.02095266
2011-07-01,-0.01354614,0.01520260,0.00057567
2011-08-01,-0.05086509,-0.04836219,-0.03747095
2011-09-01,0.01295526,0.03028820,-0.06508016
2011-10-01,-0.04181748,0.02570489,0.07673227
2011-11-01,-0.09615061,-0.02780261,0.02782179
2011-12-01,0.01017358,0.05057057,-0.00950600
2012-01-01,0.01930727,0.05154589,-0.02556737
2012-02-01,0.03101950,0.00885025,0.02446527
2012-03-01,-0.01915000,-0.00750411,-0.05768068
2012-04-01,0.00870670,-0.01429649,0.00219896
2012-05-01,0.08348980,-0.00662603,-0.00215711
2012-06-01,0.01779129,-0.00077637,0.01378388
2012-07-01,0.01628135,0.10112998,-0.00439776
2012-08-01,-0.04169714,-0.02288110,-0.00457896
2012-09-01,0.04584002,0.03581467,-0.02457812
2012-10-01,-0.02182354,-0.04306771,0.00233808
2012-11-01,-0.01314424,-0.05133072,-0.01754981
2012-12-01,0.01042216,0.03003365,0.01674306
2013-01-01,0.01582313,0.02750441,-0.02549078
2013-02-01,-0.02502447,-0.01606034,-0.00809271
2013-03-01,0.02584343,0.07275143,0.00607252
2013-04-01,-0.00375058,-0.01360420,-0.01888749
2013-05-01,0.00374615,0.02068637,0.00363658
2013-06-01,-0.02859702,0.01475267,-0.01306490
2013-07-01,-0.02124901,0.01076696,0.00276527
2013-08-01,-0.03567506,0.01373444,0.01257205
2013-09-01,-0.02416619,-0.00768210,-0.02340124
2013-10-01,0.06906188,0.10166495,-0.02071411
2013-11-01,-0.06682225,0.03617344,-0.02687523
2013-12-01,0.03024744,0.02558564,-0.00299505
2014-01-01,-0.00669558,0.01881325,0.03016848
2014-02-01,0.01876573,0.02408447,-0.00845716
2014-03-01,-0.00108010,0.03030691,0.03065791
2014-04-01,-0.00597065,-0.00563621,-0.05041689
2014-05-01,-0.07604176,-0.03058170,0.00294652
2014-06-01,0.03555157,0.08907559,0.01516767
2014-07-01,0.00970383,0.02563162,-0.00384578
2014-08-01,-0.00700511,-0.00061436,0.00352413
2014-09-01,0.00942029,0.02826335,0.02116180
2014-10-01,0.03156208,0.04506411,0.04238834
2014-11-01,-0.04093063,-0.02886335,0.00220695
2014-12-01,0.02857210,0.05878310,0.02564281
2015-01-01,0.00006477,0.02164542,-0.01822077
2015-02-01,-0.00774800,0.00105065,0.00068547
2015-03-01,-0.04318635,-0.02116685,0.01244365
2015-04-01,-0.02162295,0.00629735,-0.00539322
2015-05-01,0.01913707,0.00426473,0.04482210
2015-06-01,0.01133199,0.00971479,0.02952947
2015-07-01,0.04047104,0.03302740,0.00868989
2015-08-01,0.02562904,0.07111358,-0.00664299
2015-09-01,-0.04876124,-0.07773430,0.00601446
2015-10-01,0.00812565,0.10665884,-0.06909777
2015-11-01,-0.12190966,-0.03429927,0.03966728
2015-12-01,-0.08085618,-0.01236988,-0.00089856
2016-01-01,-0.08338510,-0.04499263,-0.03380666
2016-02-01,0.00317650,0.03007122,-0.02869227
2016-03-01,-0.02077123,0.00359093,-0.02126196
2016-04-01,0.08328224,0.09162759,-0.01051141
2016-05-01,-0.04418752,-0.05543429,0.01759801
2016-06-01,-0.01959616,-0.02672833,-0.01530551
2016-07-01,0.06306624,0.01055456,0.03289437
2016-08-01,0.00844411,-0.00431219,-0.00538695
2016-09-01,-0.04118253,-0.03166076,0.01145573
2016-10-01,0.10321774,0.09003666,0.01155861
2016-11-01,-0.07588807,-0.00418203,-0.00348322
2016-12-01,0.00176770,0.04963706,-0.01485460
2017-01-01,0.04555742,0.06719042,0.02084784
2017-02-01,-0.05746363,-0.05291950,-0.02596674
2017-03-01,-0.01047972,-0.06437322,-0.03516001
2017-04-01,-0.02995390,0.00991193,-0.02159388
2017-05-01,0.10505061,0.08918750,-0.03513859
2017-06-01,0.04244786,0.02363279,0.03204044
2017-07-01,-0.01939452,0.01342279,0.03266733
2017-08-01,0.02982351,0.06427488,-0.02430416
2017-09-01,0.05203766,0.05538758,-0.01470475
2017-10-01,0.02676379,0.03099575,-0.04787233
2017-11-01,0.03465119,0.01905773,-0.01565814
2017-12-01,0.03739721,0.04602908,0.05101684
2018-01-01,-0.05291913,-0.00999627,0.01197226
2018-02-01,0.00309952,0.02973665,0.05234304
2018-03-01,0.02923252,0.08556504,0.00320805
2018-04-01,-0.07864566,-0.01218473,0.01273375
2018-05-01,0.02707212,0.08556505,0.06977742
2018-06-01,0.10043021,0.12558147,-0.02195374
2018-07-01,-0.02329430,-0.02324343,-0.00600478
2018-08-01,0.09291973,0.04540027,-0.01631540
2018-09-01,-0.04382566,0.05732026,0.00470550
2018-10-01,-0.06898593,-0.03118756,-0.07063411
2018-11-01,0.01574058,0.04134675,0.02578861
2018-12-01,-0.06385120,-0.03942683,-0.00140301
2019-01-01,-0.03149314,-0.02958499,0.03250807
2019-02-01,0.06570127,0.15374570,-0.00572544
2019-03-01,0.00173439,-0.00521097,0.00260258
2019-04-01,0.03703559,0.05766715,0.00214166
2019-05-01,-0.02203067,-0.02087610,-0.00789845
2019-06-01,-0.09734129,-0.06410526,-0.02947490
